table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,0,0,Ông Nguyễn KimLuân,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Ông Nguyễn KimLuân,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,5,2,Công ty TNHHMTV Bờ Y,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Cho mượnChi hộ,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,5,3,Công ty TNHHMTV Bờ Y,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,200.0009.500,2000009500.0,2000009500.0,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,5,4,Công ty TNHHMTV Bờ Y,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,-,0.0,0.0,True,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,6,0,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,6,1,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Mối quan hệ | Công tyliên quan | Công ty con,Công ty con,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,6,2,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Bán hàng hóa vàcung cấp dịch vụChi hộ,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,6,3,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,-,0.0,0.0,True,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,6,4,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,5.086.373829.705,5086373829705.0,5086373829705.0,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,7,0,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,7,1,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Mối quan hệ | Công tyliên quan | Công ty con,Công tyliên quan,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,7,2,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Mua dịch vụ,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,7,3,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,-,0.0,0.0,True,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,7,4,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,646.600,646600.0,646600.0,False,False
