table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,0,0,Công ty TNHH MTV Bao bl Linh Khang,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty TNHH MTV Bao bl Linh Khang,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,2,3,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,14.859.090,14859090.0,14859090.0,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,3,0,Công ty Cổ phần Lê Me,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty Cổ phần Lê Me,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,3,1,Công ty Cổ phần Lê Me,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Gớp vốnLãi cho vayCho vay,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,3,2,Công ty Cổ phần Lê Me,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,----,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,3,3,Công ty Cổ phần Lê Me,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,3.450.326.000163.254.1767.082.350,3.4503260001632544e+25,3.4503260001632544e+25,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,4,0,Ông Nguyễn Ngọc Mai,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Ông Nguyễn Ngọc Mai,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,4,1,Ông Nguyễn Ngọc Mai,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Nhận chuyển nhượng khoản đầu tưLãi cho vay,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,4,2,Ông Nguyễn Ngọc Mai,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,----,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,4,3,Ông Nguyễn Ngọc Mai,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,289.200.0006.609.720,2892000006609720.0,2892000006609720.0,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,5,0,Ông Lê Văn Thạch,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Ông Lê Văn Thạch,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,5,1,Ông Lê Văn Thạch,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Nhận chuyển nhượng khoản đầu tưLãi cho vay,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,5,2,Ông Lê Văn Thạch,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,----,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,5,3,Ông Lê Văn Thạch,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,144.600.0007.009.860,1446000007009860.0,1446000007009860.0,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,6,0,Ông Trần Quang Dũng,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Ông Trần Quang Dũng,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,6,1,Ông Trần Quang Dũng,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Nhận chuyển nhượng khoản đầu tưLãi cho vay,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,6,2,Ông Trần Quang Dũng,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,----,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,6,3,Ông Trần Quang Dũng,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,48.200.0001.101.620,482000001101620.0,482000001101620.0,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,7,0,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,7,1,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Bán hàng hóa,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,7,2,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,-,0.0,0.0,True,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,7,3,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,42.858.092,42858092.0,42858092.0,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,8,0,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,8,1,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Bán hàng hóa,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,8,2,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,-,0.0,0.0,True,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,8,3,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,970.345,970345.0,970345.0,False,False
