table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,0,0,BVF,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,BVF,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,3,2,BVInvest,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),8.425.000.00058.006.844.493294.631.490(8.756.702.504)(17.166.929.443)(3.028.825.196),,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,3,3,BVInvest,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),13.935.000.00061.080.350.997294.414.656(5.814.484.789)(4.328.281.536)(6.420.597.611),,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,4,0,"Công ty liên doanh, liên kết",Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,"Công ty liên doanh, liên kết",,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,4,1,"Công ty liên doanh, liên kết",Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,"Công ty liên doanh, liên kết",,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,4,2,"Công ty liên doanh, liên kết",Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),"Công ty liên doanh, liên kết",,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,4,3,"Công ty liên doanh, liên kết",Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),"Công ty liên doanh, liên kết",,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,5,0,Bảo Việt Bank,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,Bảo Việt Bank,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,5,1,Bảo Việt Bank,Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,Doanh thu dịch vụ CNTTDoanh thu lãi tiền gửiDoanh thu lãi trái phiếuDoanh thu cho thuê văn phòng và phí giữ xe,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,5,2,Bảo Việt Bank,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),1.920.627.71713.857.275.34263.273.207.2574.572.432.000,1.9206277171385726e+41,1.9206277171385726e+41,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,5,3,Bảo Việt Bank,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),3.467.610.12020.857.473.27665.609.999.998377.025.303,3.467610120208575e+40,3.467610120208575e+40,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,6,0,Tokio Marine Việt Nam,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,Tokio Marine Việt Nam,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,6,1,Tokio Marine Việt Nam,Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,Cổ tức đã nhận,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,6,2,Tokio Marine Việt Nam,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),54.478.466.506,54478466506.0,54478466506.0,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,6,3,Tokio Marine Việt Nam,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),52.811.609.061,52811609061.0,52811609061.0,False,False
